Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Memon, M.A., Filippone, G., Scoccia, G.L., Autili, M., Inverardi, P.","58084899800;57221703122;57144390200;21741922600;57192813016;","ROBETHICHOR: Automated context-aware ethics-based negotiation for autonomous robots",2026,"Journal of Systems and Software","232",,"112692","","",0,,"10.1016/j.jss.2025.112692","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021077616&doi=10.1016%2fj.jss.2025.112692&partnerID=40&md5=442d086fc9814bef13b2cd0e9ea1f88c",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-105021077616
"Melo, R., Simoes, P., Gheyi, R., d'Amorim, M., Ribeiro, M., Soares, G., Almeida, E., Soares, E.","59830338500;59833691600;8365747700;8924123600;57199329234;36132146800;55666707600;35207103400;","Agentic LMs: Hunting Down Test Smells",2026,"IEEE Software","43","1",,"32","40",0,1,"10.1109/MS.2025.3621356","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019794227&doi=10.1109%2fMS.2025.3621356&partnerID=40&md5=3c087d7189bb4747dda5dd7429b6e17f",Article,"Final","All Open Access, Green",Scopus,2-s2.0-105019794227
"Patel, K., Shah, M., Qureshi, K.M., Qureshi, M.R.N.","57667914100;57772416900;57720086100;22986225600;","A systematic review of generative AI: importance of industry and startup-centered perspectives, agentic AI, ethical considerations & challenges, and future directions",2026,"Artificial Intelligence Review","59","1","7","","",0,,"10.1007/s10462-025-11435-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021487123&doi=10.1007%2fs10462-025-11435-z&partnerID=40&md5=302cb10ea8a97963e9e6169fc048dd79",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-105021487123
"Vaidhyanathan, K., Taibi, D.","57209110229;55920884000;","Agentic AI Frameworks Under the Microscope: What Works, What Doesn’t",2026,"IEEE Software","43","1",,"133","138",0,,"10.1109/MS.2025.3622209","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026858981&doi=10.1109%2fMS.2025.3622209&partnerID=40&md5=93800c349b9cd5809a5532a3e586159d",Review,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-105026858981
"Zhang, W., Kong, X., Dewitt, C., Bräunl, T., Hong, J.B.","59188546400;59188700700;59314642700;6602692836;55892420100;","Enhancing reliability in LLM-integrated robotic systems: A unified approach to security and safety",2026,"Journal of Systems and Software","231",,"112614","","",0,1,"10.1016/j.jss.2025.112614","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015581770&doi=10.1016%2fj.jss.2025.112614&partnerID=40&md5=cb2c68c919f8a40bc5d718c3e428d1c5",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-105015581770
"Tu, K., Ma, X., Qian, Z., Duan, P.","60208038300;57718238800;59677059100;57188576823;","Large-scale multimodal model based embodied intelligent robots: A survey",2026,"Engineering Applications of Artificial Intelligence","163",,"112991","","",0,,"10.1016/j.engappai.2025.112991","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022697398&doi=10.1016%2fj.engappai.2025.112991&partnerID=40&md5=3316f97b80301d88b4ff9d71e1f8314e",Short Survey,"Final","",Scopus,2-s2.0-105022697398
"Wang, Y., Zheng, S., Yang, Z., Guo, J., Yang, Z., Hong, J.","59855170800;55971859300;60117009000;60172695400;60173436600;7404118243;","A global and local agent-based curriculum reinforcement learning approach for multi-end-effector robotic arm manipulation",2026,"Engineering Applications of Artificial Intelligence","163",,"113121","","",0,,"10.1016/j.engappai.2025.113121","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021080371&doi=10.1016%2fj.engappai.2025.113121&partnerID=40&md5=4cb6fd802acc2e490b210daec7aedfff",Article,"Final","",Scopus,2-s2.0-105021080371
"Sunba, A., Hassine, J., Ahmed, M.","59460732900;9037557900;7402831561;","Testing reinforcement learning systems: A comprehensive review",2026,"Journal of Systems and Software","231",,"112563","","",0,,"10.1016/j.jss.2025.112563","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012637710&doi=10.1016%2fj.jss.2025.112563&partnerID=40&md5=b2f76095b889d8639a04c717d3b5a16f",Review,"Final","",Scopus,2-s2.0-105012637710
"Larooij, M., Törnberg, P.","58160800400;56089713100;","Validation is the central challenge for generative social simulation: a critical review of LLMs in agent-based modeling",2026,"Artificial Intelligence Review","59","1","15","","",0,,"10.1007/s10462-025-11412-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022152957&doi=10.1007%2fs10462-025-11412-6&partnerID=40&md5=63e2755e0e19316e82ff3e3b9da27e99",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-105022152957
"Zafar, S., Féraud, R., Blavette, A., Camilleri, G., Ben Ahmed, H.","57550955500;6602456621;54894544200;7004097082;6505978626;","Decentralized multi-agent multi-armed bandits for smart electric vehicles charging",2026,"Engineering Applications of Artificial Intelligence","163",,"113088","","",0,,"10.1016/j.engappai.2025.113088","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021967550&doi=10.1016%2fj.engappai.2025.113088&partnerID=40&md5=3d17312fd3f1d14622fb1852704aa953",Article,"Final","All Open Access, Green",Scopus,2-s2.0-105021967550
"Paratore, M.T., Marchetti, E., Calabrò, A., Trentanni, G.","7801552108;16242101500;36702488800;16640874900;","Leveraging Large Language Models for Automated Access Policies Generation: An Agentware Approach",2026,"IEEE Software","43","1",,"81","88",0,1,"10.1109/MS.2025.3617078","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018334434&doi=10.1109%2fMS.2025.3617078&partnerID=40&md5=55952c547dff2db8e823070249c90eae",Article,"Final","",Scopus,2-s2.0-105018334434
